run_id,policy,workload_id,family,seed,started_at,duration_s,workload_path,profile_path,result_path,monitor_path,mean_power_impact,peak_power_impact,mean_cpu_pct,thermal_warning_samples
m4-fcfs-bursty_mixed_s101,fcfs,bursty_mixed_s101,bursty_mixed,101,2026-03-10T07:36:52,12.981,workloads/bursty_mixed_s101.json,results/profile_m4_real.json,results/raw_runs/m4-fcfs-bursty_mixed_s101.json,results/monitoring/m4-fcfs-bursty_mixed_s101_monitor.json,91.0923,100.7,91.0923,0
m4-least_loaded-bursty_mixed_s101,least_loaded,bursty_mixed_s101,bursty_mixed,101,2026-03-10T07:37:05,6.707,workloads/bursty_mixed_s101.json,results/profile_m4_real.json,results/raw_runs/m4-least_loaded-bursty_mixed_s101.json,results/monitoring/m4-least_loaded-bursty_mixed_s101_monitor.json,288.8857,693.4,288.8857,0
m4-fixed_priority-bursty_mixed_s101,fixed_priority,bursty_mixed_s101,bursty_mixed,101,2026-03-10T07:37:12,3.708,workloads/bursty_mixed_s101.json,results/profile_m4_real.json,results/raw_runs/m4-fixed_priority-bursty_mixed_s101.json,results/monitoring/m4-fixed_priority-bursty_mixed_s101_monitor.json,200.85,514.6,200.85,0
m4-work_stealing-bursty_mixed_s101,work_stealing,bursty_mixed_s101,bursty_mixed,101,2026-03-10T07:37:16,6.997,workloads/bursty_mixed_s101.json,results/profile_m4_real.json,results/raw_runs/m4-work_stealing-bursty_mixed_s101.json,results/monitoring/m4-work_stealing-bursty_mixed_s101_monitor.json,298.6143,685.0,298.6143,0
m4-caphs-bursty_mixed_s101,caphs,bursty_mixed_s101,bursty_mixed,101,2026-03-10T07:37:23,3.522,workloads/bursty_mixed_s101.json,results/profile_m4_real.json,results/raw_runs/m4-caphs-bursty_mixed_s101.json,results/monitoring/m4-caphs-bursty_mixed_s101_monitor.json,67.825,92.3,67.825,0
m4-fcfs-bursty_mixed_s202,fcfs,bursty_mixed_s202,bursty_mixed,202,2026-03-10T07:37:26,15.776,workloads/bursty_mixed_s202.json,results/profile_m4_real.json,results/raw_runs/m4-fcfs-bursty_mixed_s202.json,results/monitoring/m4-fcfs-bursty_mixed_s202_monitor.json,92.3667,100.6,92.3667,0
m4-least_loaded-bursty_mixed_s202,least_loaded,bursty_mixed_s202,bursty_mixed,202,2026-03-10T07:37:42,6.294,workloads/bursty_mixed_s202.json,results/profile_m4_real.json,results/raw_runs/m4-least_loaded-bursty_mixed_s202.json,results/monitoring/m4-least_loaded-bursty_mixed_s202_monitor.json,589.9333,810.1,589.9333,0
m4-fixed_priority-bursty_mixed_s202,fixed_priority,bursty_mixed_s202,bursty_mixed,202,2026-03-10T07:37:48,3.768,workloads/bursty_mixed_s202.json,results/profile_m4_real.json,results/raw_runs/m4-fixed_priority-bursty_mixed_s202.json,results/monitoring/m4-fixed_priority-bursty_mixed_s202_monitor.json,290.625,642.4,290.625,0
m4-work_stealing-bursty_mixed_s202,work_stealing,bursty_mixed_s202,bursty_mixed,202,2026-03-10T07:37:52,5.572,workloads/bursty_mixed_s202.json,results/profile_m4_real.json,results/raw_runs/m4-work_stealing-bursty_mixed_s202.json,results/monitoring/m4-work_stealing-bursty_mixed_s202_monitor.json,517.12,800.0,517.12,0
m4-caphs-bursty_mixed_s202,caphs,bursty_mixed_s202,bursty_mixed,202,2026-03-10T07:37:58,4.009,workloads/bursty_mixed_s202.json,results/profile_m4_real.json,results/raw_runs/m4-caphs-bursty_mixed_s202.json,results/monitoring/m4-caphs-bursty_mixed_s202_monitor.json,57.95,110.8,57.95,0
