policy,workload_name,makespan_mean,throughput_mean,average_latency_mean,p95_latency_mean,total_energy_mean,peak_temperature_mean,migrations_mean,migration_benefit_ratio_mean
fcfs,bursty_mixed,385.6,0.3635378,35.29146,83.47999999999999,37821.165,80.32976,0.0,0.0
fcfs,dag_stream,335.2,0.3830568,34.375,82.97,33343.829000000005,80.2981,0.0,0.0
fcfs,steady_mixed,326.8,0.3696456,30.049979999999998,72.03,30660.1276,73.07138,0.0,0.0
fcfs,thermal_pressure,374.6,0.3638012,37.228139999999996,90.92,41845.8456,78.4124,0.0,0.0
feedback_threshold,bursty_mixed,345.6,0.4056362,34.02858,77.05,37386.8632,79.52853999999999,0.0,0.0
feedback_threshold,dag_stream,313.0,0.409262,30.056280000000005,65.5,31882.415399999998,80.6846,0.0,0.0
feedback_threshold,steady_mixed,313.0,0.3857782,24.54666,55.470000000000006,28449.3952,76.93226,0.0,0.0
feedback_threshold,thermal_pressure,347.6,0.38907579999999997,34.54074,79.11999999999999,40704.587199999994,81.08408,0.0,0.0
fixed_priority,bursty_mixed,314.8,0.44482419999999995,25.01856,58.220000000000006,31413.366599999998,78.24531999999999,0.0,0.0
fixed_priority,dag_stream,299.0,0.42872260000000006,23.21718,51.260000000000005,25922.6422,76.02456,0.0,0.0
fixed_priority,steady_mixed,304.0,0.39612179999999997,18.558339999999998,41.089999999999996,22858.5098,71.63050000000001,0.0,0.0
fixed_priority,thermal_pressure,333.2,0.4057918,28.3348,69.3,37032.134999999995,79.1643,0.0,0.0
heft,bursty_mixed,321.2,0.4362998,31.478559999999998,73.86999999999999,36582.8824,79.12224,0.0,0.0
heft,dag_stream,316.2,0.40578820000000004,29.009359999999997,63.419999999999995,31909.150199999996,81.42594,0.0,0.0
heft,steady_mixed,315.2,0.3820428,23.42834,55.279999999999994,28440.639000000003,77.97672,0.0,0.0
heft,thermal_pressure,335.6,0.403023,32.4726,76.42,40191.951799999995,80.26338000000001,0.0,0.0
least_loaded,bursty_mixed,365.8,0.3833104,37.59998,83.94,39482.4652,80.66808,0.0,0.0
least_loaded,dag_stream,328.0,0.3918952,33.30624,70.72,34606.7326,81.90184,0.0,0.0
least_loaded,steady_mixed,332.0,0.3634274,29.53334,66.81,32588.6174,78.43382,0.0,0.0
least_loaded,thermal_pressure,367.4,0.3706452,36.71112,85.32000000000001,41938.3572,81.111,0.0,0.0
plan6,bursty_mixed,311.8,0.44951379999999996,23.15428,49.67,30463.9034,78.27262,18.8,2.5902694
plan6,dag_stream,302.6,0.42451540000000004,22.1297,46.17,26349.4238,77.20792,13.0,2.5605985999999996
plan6,steady_mixed,294.0,0.4092572,17.79,40.29,22582.0424,75.87021999999999,8.4,2.0274419999999997
plan6,thermal_pressure,336.6,0.40164360000000005,28.29184,63.14,37836.3228,81.61892,40.2,2.9209994000000004
plan6_noenergy,bursty_mixed,310.4,0.45149359999999994,23.2243,49.66,30592.9222,78.27058,19.8,2.6160766000000004
plan6_noenergy,dag_stream,301.8,0.425443,23.265620000000002,48.46,27529.7202,80.31162,14.8,2.6724862000000003
plan6_noenergy,steady_mixed,296.4,0.4057066,18.17166,40.29,23033.788800000002,76.69174000000001,10.2,2.4536096
plan6_noenergy,thermal_pressure,334.2,0.4046274,29.491840000000003,68.17999999999999,38668.5422,80.90224,42.2,2.8020788
plan6_nofeedback,bursty_mixed,315.2,0.4453816,23.96714,51.839999999999996,30952.005599999997,79.41162,21.0,2.7058204
plan6_nofeedback,dag_stream,301.4,0.4261346,22.30626,47.69,26487.9026,76.81685999999999,12.8,2.502918
plan6_nofeedback,steady_mixed,294.2,0.40891900000000003,17.76334,39.92,22424.9816,75.63446,7.6,2.0261008
plan6_nofeedback,thermal_pressure,334.4,0.4045196,28.00594,62.4,37776.3974,80.80804,37.4,2.9404906
plan6_nomigration,bursty_mixed,316.0,0.4430792,25.9457,60.089999999999996,32476.366,77.71658,0.0,0.0
plan6_nomigration,dag_stream,304.6,0.42173940000000004,24.0594,54.629999999999995,27112.2038,77.11125999999999,0.0,0.0
plan6_nomigration,steady_mixed,295.6,0.4071364,18.49334,42.12,22923.5116,74.24066,0.0,0.0
plan6_nomigration,thermal_pressure,341.0,0.3978818,28.657760000000003,69.24,37429.066399999996,78.99514,0.0,0.0
plan6_nothermal,bursty_mixed,313.2,0.4471934,23.524279999999997,49.85,31024.6996,78.48728,20.2,2.6878439999999997
plan6_nothermal,dag_stream,303.4,0.42332980000000003,22.00472,46.78,26141.8674,77.28008,12.8,2.3926416
plan6_nothermal,steady_mixed,296.0,0.406195,18.11832,41.08,22899.5186,75.51634,9.4,2.3434436
plan6_nothermal,thermal_pressure,336.0,0.4027324,29.312580000000004,67.56,38413.7618,80.6779,42.6,2.8121154
plan6_stochastic,bursty_mixed,315.2,0.4449574,23.297140000000002,49.660000000000004,30664.191600000002,78.04098,20.0,2.626832
plan6_stochastic,dag_stream,301.4,0.42562359999999994,22.4672,46.660000000000004,26645.608,77.60983999999999,15.2,2.4497838
plan6_stochastic,steady_mixed,293.8,0.409482,18.48666,41.89,23130.2402,75.66234,11.6,2.3616856
plan6_stochastic,thermal_pressure,336.6,0.4016818,28.397040000000004,64.0,37984.763399999996,81.12146,39.4,2.9481072
plan6_v2,bursty_mixed,310.4,0.45191359999999997,23.082839999999997,50.06,30252.4212,78.98674,19.8,2.4036096000000002
plan6_v2,dag_stream,302.2,0.4247604,21.887520000000002,44.92,25928.9118,77.84916000000001,11.6,2.3395514
plan6_v2,steady_mixed,296.6,0.4055758,17.71666,39.08,22538.9674,75.55364,10.6,2.2504106
plan6_v2,thermal_pressure,333.2,0.405514,28.4178,64.12,37961.883400000006,80.22785999999999,38.2,2.9617994
work_stealing,bursty_mixed,322.4,0.43431759999999997,26.475720000000003,62.279999999999994,32599.225800000004,74.7591,0.0,0.0
work_stealing,dag_stream,299.0,0.4287566,23.071859999999997,51.19,25872.6826,74.59222,0.0,0.0
work_stealing,steady_mixed,304.0,0.39612179999999997,18.54666,41.089999999999996,22844.404,71.64682,0.0,0.0
